Time (HH:mm:ss),Time (GPS ns),UTC offset (s),Time from start of file (s),Latitude (deg),Longitude (deg),Altitude (m),Velocity north (m/s),Velocity east (m/s),Velocity down (m/s),Acceleration Xv (m/s²),Acceleration Yv (m/s²),Acceleration Zv (m/s²),Heading (deg),Pitch (deg),Roll (deg),Velocity up (m/s)
20:45:16,1302122734201000000,-18,467.204000000,37.428129764308,-122.183197797759,7.67638349533081,-6.045,-3.3792,-0.0287,1.7131,-2.3597,-12.2994,211.408151382521,0.86659866513537,0.940968586943351,0.0287
20:45:17,1302122735201000000,-18,468.204000000,37.4280670626073,-122.183239258073,7.75406742095947,-7.8335,-3.9884,-0.1586,2.2519,-1.3809,-10.9089,206.958561145535,1.67177625463272,0.561212160330641,0.1586
20:45:18,1302122736201000000,-18,469.204000000,37.4279881067939,-122.183289048707,7.80267667770386,-9.6055,-4.777,-0.0226,1.2034,-1.3958,-6.963,206.212856575172,0.691388171384364,0.964173377646149,0.0226
20:45:19,1302122737201000000,-18,470.204000000,37.4279014128505,-122.183343139341,7.75184202194214,-9.1222,-4.3093,0.0539,-2.2107,-4.401,-7.8438,205.753459015036,-0.106398262555794,1.1098192491684,-0.0539
20:45:20,1302122738201000000,-18,471.204000000,37.4278258067242,-122.183363267424,7.75838708877563,-7.1701,1.119,-0.0957,-3.1969,-7.4698,-11.2465,177.402802162515,0.3849703425484,2.59068596646353,0.0957
20:45:21,1302122739201000000,-18,472.204000000,37.4277771416743,-122.183327615318,7.85616970062256,-3.6754,4.599,-0.134,-0.9138,-2.9714,-10.5245,136.501579703526,1.25586619114725,1.88571869533457,0.134
20:45:22,1302122740201000000,-18,473.204000000,37.4277596699231,-122.183269090338,7.98471927642822,-0.2154,5.3972,-0.1155,-0.6813,-2.3814,-12.4458,100.474852982393,1.28067526367642,1.2315727806337,0.1155
20:45:23,1302122741201000000,-18,474.204000000,37.4277720940793,-122.183211685631,8.07809448242188,2.9054,4.4933,-0.0797,-0.3386,-1.4408,-9.3352,65.4696527141981,1.09177107862178,0.353343072257179,0.0797
20:45:24,1302122742201000000,-18,475.204000000,37.4278079450451,-122.183167551726,8.12593078613281,5.1131,3.4789,0.0214,1.6637,-3.5495,-11.9537,38.2814875323118,0.714707553646189,-0.861843115435784,-0.0214
20:45:25,1302122743201000000,-18,476.204000000,37.4278633918806,-122.183128548027,8.12335968017578,7.1068,3.6888,0.0344,1.8031,1.4707,-16.3061,27.6606834755308,0.364630340821256,-1.76751750219908,-0.0344
20:45:26,1302122744201000000,-18,477.204000000,37.427935841173,-122.183082289802,8.05985260009766,9.0174,4.5333,0.029,2.4477,2.6694,-7.8349,26.4356997095411,0.717113976385738,-0.470512941361432,-0.029
20:45:27,1302122745201000000,-18,478.204000000,37.4280229490958,-122.18302749309,7.98944616317749,9.7417,4.8814,0.1113,-1.549,-4.2854,-11.3261,26.4206882153086,-0.407888654353633,-0.582640781868534,-0.1113
20:45:28,1302122746201000000,-18,479.204000000,37.4281052164186,-122.182985510984,7.90868902206421,8.4674,1.277,0.0867,-3.6684,-6.4309,-12.739,12.6291930160531,-0.649390365001275,1.09532341695159,-0.0867
20:45:29,1302122747201000000,-18,480.204000000,37.428167479585,-122.183003050134,7.83859062194824,5.1497,-3.7954,0.0572,-1.9168,-1.3188,-12.966,331.439658194555,-0.76547161429478,1.67578695919863,-0.0572
20:45:30,1302122748201000000,-18,481.204000000,37.4281975394901,-122.18305898367,7.75241756439209,1.4508,-5.71,0.0989,-0.9085,-7.3248,-8.5984,292.365139778002,-0.888141878232289,1.70197113043611,-0.0989
20:45:31,1302122749201000000,-18,482.204000000,37.4281936217744,-122.183123117495,7.67650842666626,-2.2721,-5.2128,0.0434,-0.8271,-6.9511,-4.0879,254.786957939214,-0.461861278654957,2.09587961458855,-0.0434
20:45:32,1302122750201000000,-18,483.204000000,37.4281617744485,-122.183172003202,7.65983629226685,-4.5938,-3.6219,-0.0141,1.8842,-3.5226,-8.5873,223.477908407408,0.583213739663665,1.56612283721059,0.0141
20:45:33,1302122751201000000,-18,484.204000000,37.4281101935271,-122.183211118817,7.70498037338257,-6.661,-3.5166,-0.0347,2.0131,-3.7361,-7.4313,208.253044692074,1.07544178146056,0.488102745671948,0.0347
20:45:34,1302122752201000000,-18,485.204000000,37.428042142625,-122.183254852419,7.80029058456421,-8.4632,-4.2989,-0.0744,2.3375,-2.4592,-1.7845,206.553651871716,1.06535772426625,0.894215230860676,0.0744
20:45:35,1302122753201000000,-18,486.204000000,37.4279577899807,-122.183307628749,7.81675720214844,-9.7689,-4.8827,0.0407,0.0186,0.391,-2.8131,206.314212809131,0.293010616429903,0.983653942680597,-0.0407
20:45:36,1302122754201000000,-18,487.204000000,37.4278737211726,-122.183356957722,7.7617359161377,-8.6892,-2.7685,0.0316,-3.4108,-9.7936,-13.1188,200.212269586767,-0.200592524075301,1.9747563366979,-0.0316
20:45:37,1302122755201000000,-18,488.204000000,37.4278059276437,-122.183355837475,7.79931545257568,-5.9289,2.7046,-0.1013,-2.0041,-3.6926,-12.0258,163.336287221597,0.607392558618186,2.3220833521062,0.1013
20:45:38,1302122756201000000,-18,489.204000000,37.4277678268965,-122.183309637315,7.9093713760376,-2.5203,5.0724,-0.1191,-0.6612,1.8351,-13.2128,124.669256388941,1.29878073000255,1.65389997142463,0.1191
20:45:39,1302122757201000000,-18,490.204000000,37.427760342157,-122.183249670579,8.02365684509277,0.8281,5.2445,-0.0824,-0.1802,-4.993,-7.1236,89.8170358520464,1.24349030277243,0.81193849147989,0.0824
20:45:40,1302122758201000000,-18,491.204000000,37.4277811288514,-122.183196140072,8.09982013702393,3.5531,4.0032,-0.0573,0.4711,-5.0011,-6.0437,55.6465204997982,1.30090067384453,-0.234740808665098,0.0573
20:45:41,1302122759201000000,-18,492.204000000,37.4278232052942,-122.183155424939,8.11177539825439,5.8109,3.3183,-0.0276,1.706,1.4148,-8.1422,32.762013204478,0.82087663308393,-1.13101868758824,0.0276
